iter	Passed	Remaining
872	973	141
873	974	140
874	975	139
875	976	138
876	977	137
877	977	135
878	978	134
879	979	133
880	980	132
881	981	131
882	982	130
883	983	129
884	984	127
885	985	126
886	985	125
887	986	124
888	987	123
889	988	122
890	989	121
891	990	119
892	990	118
893	991	117
894	992	116
895	993	115
896	994	114
897	994	113
898	995	111
899	996	110
900	997	109
901	999	108
902	999	107
903	1000	106
904	1001	105
905	1002	104
906	1003	102
907	1004	101
908	1004	100
909	1005	99
910	1006	98
911	1007	97
912	1008	96
913	1009	94
914	1009	93
915	1011	92
916	1012	91
917	1013	90
918	1014	89
919	1015	88
920	1015	87
921	1016	85
922	1017	84
923	1018	83
924	1018	82
925	1019	81
926	1020	80
927	1021	79
928	1022	78
929	1023	77
930	1023	75
931	1024	74
932	1025	73
933	1026	72
934	1028	71
935	1029	70
936	1029	69
937	1030	68
938	1031	67
939	1032	65
940	1032	64
941	1033	63
942	1034	62
943	1035	61
944	1036	60
945	1036	59
946	1037	58
947	1038	56
948	1039	55
949	1040	54
950	1041	53
951	1042	52
952	1043	51
953	1044	50
954	1045	49
955	1046	48
956	1046	47
957	1047	45
958	1048	44
959	1049	43
960	1050	42
961	1051	41
962	1051	40
963	1052	39
964	1053	38
965	1054	37
966	1054	36
967	1055	34
968	1056	33
969	1058	32
970	1058	31
971	1059	30
972	1060	29
973	1061	28
974	1062	27
975	1062	26
976	1063	25
977	1064	23
978	1065	22
979	1066	21
980	1067	20
981	1067	19
982	1068	18
983	1069	17
984	1070	16
985	1071	15
986	1072	14
987	1073	13
988	1074	11
989	1075	10
990	1075	9
991	1076	8
992	1077	7
993	1078	6
994	1078	5
995	1079	4
996	1080	3
997	1081	2
998	1082	1
999	1083	0
